model,dataset,method,bits,bytes_per_vector,r1_mean,r1_std,r10_mean,r10_std,r100_mean,r100_std,training
prithvi,bigearthnet,binary_hash,2,96,0.1522,0.0088,0.2728,0.0046,0.3944,0.0044,no
prithvi,bigearthnet,flyhash,2,192,0.0510,0.0039,0.1258,0.0053,0.2532,0.0088,no
prithvi,bigearthnet,flyhash,3,288,0.0744,0.0094,0.1661,0.0084,0.3066,0.0154,no
prithvi,bigearthnet,flyhash,4,384,0.1018,0.0105,0.2072,0.0119,0.3583,0.0207,no
prithvi,bigearthnet,fp32_exact,2,3072,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,no
prithvi,bigearthnet,product_quant,2,192,0.7292,0.0034,0.8341,0.0024,0.9005,0.0008,yes
prithvi,bigearthnet,product_quant,3,256,0.7886,0.0048,0.8754,0.0047,0.9301,0.0008,yes
prithvi,bigearthnet,product_quant,4,384,0.8694,0.0135,0.9245,0.0023,0.9612,0.0010,yes
prithvi,bigearthnet,rabitq,1,96,0.1232,0.0136,0.2561,0.0102,0.4212,0.0158,no
prithvi,bigearthnet,randproj_quant,2,192,0.0308,0.0185,0.0797,0.0364,0.1738,0.0541,no
prithvi,bigearthnet,randproj_quant,3,288,0.0294,0.0201,0.0703,0.0377,0.1584,0.0517,no
prithvi,bigearthnet,randproj_quant,4,384,0.0278,0.0145,0.0727,0.0308,0.1594,0.0408,no
prithvi,bigearthnet,simhash_multi,2,192,0.2094,0.0137,0.3667,0.0079,0.5349,0.0107,no
prithvi,bigearthnet,simhash_multi,3,288,0.2638,0.0119,0.4314,0.0101,0.5950,0.0084,no
prithvi,bigearthnet,simhash_multi,4,384,0.3044,0.0158,0.4806,0.0099,0.6386,0.0071,no
prithvi,bigearthnet,turboquant_ada,2,196,0.2152,0.0068,0.3845,0.0095,0.5523,0.0072,yes
prithvi,bigearthnet,turboquant_ada,3,292,0.3162,0.0130,0.4868,0.0107,0.6435,0.0073,yes
prithvi,bigearthnet,turboquant_ada,4,388,0.4014,0.0129,0.5840,0.0124,0.7241,0.0086,yes
prithvi,bigearthnet,turboquant_mse,2,196,0.2212,0.0192,0.3822,0.0061,0.5520,0.0057,no
prithvi,bigearthnet,turboquant_mse,3,292,0.3140,0.0160,0.4855,0.0045,0.6428,0.0059,no
prithvi,bigearthnet,turboquant_mse,4,388,0.3928,0.0189,0.5721,0.0018,0.7128,0.0015,no
prithvi,bigearthnet,uniform_sq,2,196,0.1292,0.0110,0.2557,0.0099,0.4215,0.0157,no
prithvi,bigearthnet,uniform_sq,3,292,0.1292,0.0110,0.2557,0.0099,0.4215,0.0157,no
prithvi,bigearthnet,uniform_sq,4,388,0.1292,0.0087,0.2551,0.0096,0.4220,0.0161,no
prithvi,eurosat,binary_hash,2,96,0.2531,0.0261,0.4515,0.0106,0.6341,0.0057,no
prithvi,eurosat,flyhash,2,192,0.1556,0.0199,0.3544,0.0115,0.6360,0.0114,no
prithvi,eurosat,flyhash,3,288,0.1710,0.0064,0.4087,0.0082,0.6821,0.0142,no
prithvi,eurosat,flyhash,4,384,0.2389,0.0300,0.4683,0.0054,0.7234,0.0090,no
prithvi,eurosat,fp32_exact,2,3072,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,no
prithvi,eurosat,product_quant,2,192,0.8154,0.0193,0.9007,0.0045,0.9595,0.0009,yes
prithvi,eurosat,product_quant,3,256,0.8698,0.0104,0.9296,0.0028,0.9732,0.0008,yes
prithvi,eurosat,product_quant,4,384,0.9191,0.0102,0.9607,0.0016,0.9864,0.0007,yes
prithvi,eurosat,rabitq,1,96,0.2704,0.0196,0.5020,0.0097,0.7514,0.0042,no
prithvi,eurosat,randproj_quant,2,192,0.1938,0.0741,0.4037,0.0959,0.7109,0.0783,no
prithvi,eurosat,randproj_quant,3,288,0.1852,0.0688,0.4017,0.1078,0.7058,0.0862,no
prithvi,eurosat,randproj_quant,4,384,0.1759,0.0625,0.3941,0.1056,0.7005,0.0912,no
prithvi,eurosat,simhash_multi,2,192,0.3840,0.0334,0.6069,0.0177,0.8140,0.0062,no
prithvi,eurosat,simhash_multi,3,288,0.4475,0.0344,0.6657,0.0186,0.8465,0.0049,no
prithvi,eurosat,simhash_multi,4,384,0.4938,0.0211,0.7019,0.0162,0.8661,0.0053,no
prithvi,eurosat,turboquant_ada,2,196,0.4074,0.0216,0.6319,0.0051,0.8303,0.0040,yes
prithvi,eurosat,turboquant_ada,3,292,0.5204,0.0299,0.7142,0.0084,0.8724,0.0041,yes
prithvi,eurosat,turboquant_ada,4,388,0.6154,0.0177,0.7823,0.0075,0.9106,0.0031,yes
prithvi,eurosat,turboquant_mse,2,196,0.3957,0.0227,0.6356,0.0064,0.8314,0.0041,no
prithvi,eurosat,turboquant_mse,3,292,0.5136,0.0224,0.7106,0.0070,0.8730,0.0005,no
prithvi,eurosat,turboquant_mse,4,388,0.5889,0.0256,0.7794,0.0070,0.9080,0.0017,no
prithvi,eurosat,uniform_sq,2,196,0.2685,0.0190,0.5027,0.0132,0.7515,0.0045,no
prithvi,eurosat,uniform_sq,3,292,0.2685,0.0190,0.5027,0.0132,0.7515,0.0045,no
prithvi,eurosat,uniform_sq,4,388,0.2698,0.0177,0.5024,0.0125,0.7517,0.0048,no
remoteclip,bigearthnet,binary_hash,2,64,0.3452,0.0064,0.4726,0.0028,0.5794,0.0032,no
remoteclip,bigearthnet,flyhash,2,128,0.1828,0.0072,0.2851,0.0061,0.3957,0.0051,no
remoteclip,bigearthnet,flyhash,3,192,0.2434,0.0103,0.3558,0.0119,0.4648,0.0084,no
remoteclip,bigearthnet,flyhash,4,256,0.2942,0.0068,0.4088,0.0100,0.5165,0.0068,no
remoteclip,bigearthnet,fp32_exact,2,2048,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,no
remoteclip,bigearthnet,product_quant,2,128,0.7662,0.0132,0.8346,0.0039,0.8839,0.0013,yes
remoteclip,bigearthnet,product_quant,4,256,0.9220,0.0055,0.9444,0.0023,0.9654,0.0002,yes
remoteclip,bigearthnet,rabitq,1,64,0.2894,0.0172,0.4179,0.0052,0.5367,0.0025,no
remoteclip,bigearthnet,randproj_quant,2,128,0.3748,0.0148,0.4975,0.0074,0.5979,0.0058,no
